No.,Latitude,Longitude,Altitude,Pitch,Roll,Yaw
DSC06022.JPG,24.07150472,120.657959,267,0.73,0.19,-86.18
DSC06023.JPG,24.071521,120.6575846,269,-1.95,8.22,-87.9
DSC06024.JPG,24.07154134,120.657194,267,-2.27,6.63,-84.7
DSC06025.JPG,24.07160238,120.6568685,269,-5.36,3.31,-74.68999
DSC06026.JPG,24.07165934,120.6565267,269,-3.65,-2.95,-82.98
DSC06027.JPG,24.07168376,120.6561849,267,-2.15,4.55,-86.95
DSC06028.JPG,24.07172038,120.6558431,265,2.35,0.81,-86.02
DSC06029.JPG,24.07176921,120.6555176,263,3.2,-4.38,-80.96
DSC06030.JPG,24.0718221,120.6551758,263,4.15,0.25,-81.79
DSC06031.JPG,24.07186686,120.654834,264,4.52,-0.03,-82.61
DSC06032.JPG,24.07190348,120.6544922,263,6.85,-2.43,-86.06
DSC06033.JPG,24.0719401,120.6541341,264,6.55,0.68,-84.48
DSC06034.JPG,24.07196859,120.653776,265,4.24,3.74,-84.68
DSC06035.JPG,24.07200521,120.6534017,267,1.9,6.43,-85.06
DSC06036.JPG,24.07205404,120.6530273,269,0.14,9.15,-79.54
DSC06037.JPG,24.07210286,120.652653,269,-1.53,-2.2,-83
DSC06038.JPG,24.07215169,120.6522949,272,-5.15,1.58,-82.14
DSC06039.JPG,24.07219645,120.6519368,268,-3.5,3.47,-83.93
DSC06040.JPG,24.072229,120.6515951,268,-1.49,-0.37,-84.71001
DSC06041.JPG,24.07226156,120.6512695,266,0.11,-29.21,-88.63
DSC06042.JPG,24.0721639,120.6509277,261,4.63,-34.12,-137.68
DSC06043.JPG,24.07176514,120.6508301,260,12.5,-1.32,-176.76
DSC06044.JPG,24.07132975,120.650944,264,5.21,-47.99,148.31
DSC06045.JPG,24.07095947,120.6513184,266,5.12,-35.97,117.99
DSC06046.JPG,24.07076823,120.6518555,273,1.02,-24.32,100.06
DSC06047.JPG,24.07069499,120.6524414,274,-2.71,-15.28,92.5
DSC06048.JPG,24.07069092,120.6530436,270,-1.05,-7.43,84.76
DSC06049.JPG,24.07073161,120.6536296,273,-2.24,1.12,85.25
DSC06050.JPG,24.07077637,120.6541992,272,-3.82,-6,81.95
DSC06051.JPG,24.07080892,120.6547689,270,-2.27,3.01,87.34
DSC06052.JPG,24.07081299,120.655306,271,-4.27,6.75,91.38
DSC06053.JPG,24.07080078,120.6558594,267,-0.35,8.59,93
DSC06054.JPG,24.07077637,120.6564128,265,4.01,5.1,92.83
DSC06055.JPG,24.07073161,120.6569499,264,2.36,8.49,101.26
DSC06056.JPG,24.07068278,120.6575358,265,3.91,3,95.46
DSC06057.JPG,24.07062988,120.6581055,266,2.12,9.27,96.49
DSC06058.JPG,24.07054036,120.6586914,267,2.56,-2.84,99.93
DSC06059.JPG,24.07044271,120.6592611,265,2.51,5.61,103.74
